Name,Team,Position,Cost,Creativity,Influence,Threat,Goals_conceded,Goals_scored,Assists,Own_goals,Yellow_cards,Red_cards,TSB,Minutes,Bonus,points
Bacuna,HUD,MID,43.92,0.6,9,0,3,0,0,0,0,0,0.15,38,0,5
Bailly,MUN,DEF,52.67,35.2,587.4,109,57,1,0,1,2,0,2.39,2997,3,104
Baines,EVE,DEF,53.08,1134,825.4,252,86,2,3,0,1,0,1.18,4825,10,132
Bakayoko,CHE,MID,49.17,279.5,415.4,434,24,2,2,0,3,1,0.13,2121,5,77
Balbuena,WHU,DEF,44.25,189.2,1870.8,747,134,3,0,0,11,0,0.42,6840,17,160
Baldock,BHA,FWD,45,0.8,0.4,6,1,0,0,0,0,0,0.52,30,0,2
Balogun,BHA,DEF,43.42,3,342,20,30,0,0,0,10,0,0.12,1600,0,20
Bamba,CAR,DEF,45,107.6,1851.6,876,121,9,4,0,4,0,1.1,6210,22,250
Baningime,EVE,MID,44,3.8,9.4,0,2,0,0,0,1,0,0.07,192,0,7
Bardsley,BUR,DEF,43.58,286.7,501,43,39,0,0,0,22,0,0.12,2655,0,41
Barkley,CHE,MID,58.67,639.3,853.2,1035,45,12,11,0,0,0,2.62,2894,19,221
Barnes,BUR,FWD,57.75,638.2,1006,1421,47,23,0,0,12,0,0.59,3935,30,241
Batth,WOL,DEF,40,0,0,0,0,0,0,0,0,0,1.23,0,0,0
Bednarek,SOU,DEF,39.25,5.5,311.8,19,10,1,0,0,1,0,4.33,897,0,34
Bellerin,ARS,DEF,54.25,1543.6,1998.8,1466,147,2,27,4,15,0,11.32,9755,27,370
Benalouane,LEI,DEF,39.33,1.3,24.8,18,2,0,0,0,0,0,0.98,90,0,1
Bennett,CAR,DEF,45,648.8,1140.2,48,108,0,9,0,0,0,0.67,5580,20,205
Benteke,CRY,FWD,64,923.1,480.8,2476,84,3,7,0,6,0,0.75,5476,5,164
Bernardo,BHA,DEF,42.92,75.8,250,0,22,0,0,0,11,0,0.12,1078,0,4
BernardoSilva,MCI,MID,75.5,2509.6,2127.2,2517,33,28,14,0,6,0,7.98,7410,32,446
Bertrand,SOU,DEF,49.5,2075.1,1890.4,909,166,10,5,0,28,0,5.2,9975,14,355
Billing,HUD,MID,45,844.5,1825.8,1148,170,9,0,0,31,0,1.88,7472,27,230
Bissouma,BHA,MID,48.58,238.3,243,282,64,0,0,0,8,0,0.01,3314,0,89
Blind,MUN,DEF,50,93,65.8,15,0,0,0,0,0,0,0.01,360,1,28
Bogle,CAR,FWD,45,0,0,0,0,0,0,0,0,0,0.24,0,0,0
Bolasie,EVE,MID,58.33,109,98.6,204,14,1,1,0,0,0,0.16,848,0,35
Boly,WOL,DEF,45.58,211.2,2049.4,637,77,10,0,0,0,0,3.81,6840,26,323
Bonatini,WOL,FWD,48.75,206.4,204.4,747,0,0,9,0,0,0,0.68,1010,0,76
Bong,BHA,DEF,45,498.3,1097.4,18,156,0,0,1,2,0,0.2,8791,5,209
Boufal,SOU,MID,55,351.6,289.4,397,24,2,2,0,1,0,0.01,1206,2,55
Brady,BUR,MID,54.25,605.5,335.6,295,28,1,6,0,8,0,0.01,1602,7,66
Britos,WAT,DEF,44.17,42.7,180.4,51,16,1,0,0,3,1,0.04,795,0,22
Brooks,BOU,MID,50.33,958.9,978.6,1819,60,14,0,0,6,0,0.92,4746,11,226
